,source_genesymbol,target_genesymbol,references
5040,TGFB1,TGFBR3,Baccin2019:7935686;CellTalkDB:7935686;Cellinker:7935686;DIP:10519421;DIP:11323414;DIP:9312157;HPRD:7935686;LRdb:7935686;Lit-BM-17:10519421;Lit-BM-17:11323414;Lit-BM-17:8106553;Lit-BM-17:9312157;NetPath:11278442;NetPath:11323414;SPIKE:11278442;SPIKE:8106553;SPIKE_LC:11278442;SPIKE_LC:8106553;connectomeDB2020:7935686
5041,TGFB1,TGFBR1,Baccin2019:12809600;Baccin2019:8235612;BioGRID:8235612;CellTalkDB:12809600;DIP:10187774;DIP:7706250;HPMR:12809600;HPRD:8235612;LRdb:12809600;LRdb:82;NetPath:11323414;NetPath:8047140;SIGNOR:22326956;SIGNOR:22703233;SIGNOR:26194464;SPIKE:7852346;SPIKE_LC:7852346;connectomeDB2020:12809600;connectomeDB2020:8235612
5050,IL9,IL9R,Baccin2019:953591811588013;CellTalkDB:9535918;DIP:9261146;HPMR:9535918;HPRD:11588013;LRdb:116;LRdb:9535918;NetPath:1376929;SIGNOR:10642536;SPIKE:1376929;SPIKE_LC:1376929;SignaLink3:10642536;SignaLink3:23331499;connectomeDB2020:11588013;connectomeDB2020:9535918
5057,DLL1,NOTCH2,Baccin2019:10958687;BioGRID:9244302;CellChatDB:22353464;CellTalkDB:10958687;Cellinker:10958687;Cellinker:22353464;HPRD:10958687;ICELLNET:21685328;LRdb:10958687;NetPath:10958687;SIGNOR:23111325;SPIKE:10958687;SPIKE_LC:10958687;connectomeDB2020:10958687
5059,DLL1,NOTCH3,Baccin2019:11006133;Baccin2019:12482954;CancerCellMap:11006133;CellChatDB:22353464;CellTalkDB:12482954;Cellinker:11006133;Cellinker:12482954;Cellinker:22353464;HPRD:11006133;HPRD:12482954;ICELLNET:21685328;LRdb:11;LRdb:12482954;NetPath:11006133;SIGNOR:11006133;SPIKE:11006133;SPIKE_LC:11006133;connectomeDB2020:11006133;connectomeDB2020:12482954
5073,KIT,JAK2,CancerCellMap:7527392;CancerCellMap:8611693;HPRD:7527392;HPRD:8611693;HPRD:9355737;NetPath:8611693;SIGNOR:15526160;SPIKE:8611693;SPIKE_LC:8611693
5074,DLL4,NOTCH4,Baccin2019:1621980212814940;CellChatDB:22353464;CellTalkDB:16219802;Cellinker:12814948;Cellinker:16219802;Cellinker:22353464;HPMR:16219802;HPRD:12814948;LRdb:13;LRdb:16219802;NetPath:12814948;SPIKE:12814948;SPIKE_LC:12814948;SignaLink3:10837027;SignaLink3:12814948;SignaLink3:18988627;SignaLink3:23331499;connectomeDB2020:12814948;connectomeDB2020:16219802
5082,IL6ST,JAK2,NetPath:7896787;ProtMapper:9716487;SIGNOR:9716487;SPIKE:8174677;SPIKE_LC:8174677;SignaLink3:23331499;SignaLink3:8174677;iPTMnet:9716487
5088,IL1B,IL1R1,Baccin2019:62193;Baccin2019:9062193;Baccin2019:9820540;CellTalkDB:9062193;HPRD:9062193;InnateDB:8142597;LRdb:62193;LRdb:9062193;LRdb:9820540;Lit-BM-17:7878046;Lit-BM-17:9062193;Macrophage:9062193;NetPath:2946959;NetPath:7775431;SIGNOR:24166242;SIGNOR:9625767;SPIKE:17145710;SPIKE:9062193;SPIKE_LC:17145710;SPIKE_LC:9062193;SignaLink3:23331499;SignaLink3:9062193;connectomeDB2020:62193;connectomeDB2020:9062193;connectomeDB2020:9820540
5097,LIF,LIFR,Baccin2019:12601009;Baccin2019:16051226;Baccin2019:9716487;CellTalkDB:12601009;DIP:8662595;DIP:8999038;DIP:9852103;DOMINO:16051226;HPMR:9716487;HPRD:12601009;HPRD:16051226;LRdb:12601009;LRdb:16051226;LRdb:9716487;SIGNOR:16051226;SIGNOR:24710148;SIGNOR:9143707;SPIKE_LC:16051226;SignaLink3:10428964;SignaLink3:11306493;SignaLink3:12601009;SignaLink3:16051226;SignaLink3:19833085;SignaLink3:21840487;SignaLink3:22595692;SignaLink3:23331499;SignaLink3:24857661;SignaLink3:26192618;SignaLink3:7512720;SignaLink3:7521688;connectomeDB2020:12601009;connectomeDB2020:16051226;connectomeDB2020:9716487
5099,IL13,IL13RA1,Baccin2019:1270434311278620;CellTalkDB:12704343;DIP:20223216;DIP:8910586;HPMR:12704343;HPRD:11278629;InnateDB:9013879;IntAct:18243101;IntAct:20223216;LRdb:11;LRdb:12704343;Lit-BM-17:18243101;Lit-BM-17:8910586;SIGNOR:12704343;SignaLink3:10485906;SignaLink3:11867689;SignaLink3:12223527;SignaLink3:12401408;SignaLink3:14610620;SignaLink3:14657224;SignaLink3:15099563;SignaLink3:16243976;SignaLink3:16413922;SignaLink3:17404308;SignaLink3:17485448;SignaLink3:18250477;SignaLink3:18451175;SignaLink3:19833085;SignaLink3:20184663;SignaLink3:20406969;SignaLink3:20510870;SignaLink3:20856220;SignaLink3:21097505;SignaLink3:21115385;SignaLink3:21469115;SignaLink3:21840487;SignaLink3:23124025;SignaLink3:23180781;SignaLink3:23331499;SignaLink3:23390297;SignaLink3:24030977;SignaLink3:24091328;SignaLink3:26192618;SignaLink3:26755705;SignaLink3:27216177;SignaLink3:7512720;SignaLink3:7521688;SignaLink3:7543512;SignaLink3:8910586;SignaLink3:9013879;SignaLink3:9535722;connectomeDB2020:11278629;connectomeDB2020:12704343
5100,IL13,IL13RA2,Baccin2019:1270434311003390;CellTalkDB:26471366;DIP:20223216;DIP:8663118;HPMR:12704343;HPRD:11003391;ICELLNET:8663118;InnateDB:8663118;IntAct:20223216;IntAct:23972995;IntAct:27629921;LRdb:11;LRdb:12704343;SignaLink3:12223527;SignaLink3:12401408;SignaLink3:14610620;SignaLink3:14657224;SignaLink3:14985454;SignaLink3:15099563;SignaLink3:18250477;SignaLink3:18451175;SignaLink3:20184663;SignaLink3:21097505;SignaLink3:23180781;SignaLink3:23331499;SignaLink3:26192618;SignaLink3:26755705;SignaLink3:8663118;SignaLink3:9535722;connectomeDB2020:11003391;connectomeDB2020:12704343
5120,BMP2,BMPR2,Baccin2019:10880440;Baccin2019:11263668;BioGRID:24337809;DIP:10880444;DIP:25938661;HPRD:10880444;InnateDB:17295905;InnateDB:18342887;LRdb:11;LRdb:11263668;Lit-BM-17:10712517;Lit-BM-17:10880444;Lit-BM-17:7791754;SIGNOR:7791754;SignaLink3:16446785;SignaLink3:17295905;SignaLink3:18342887;SignaLink3:23180781;SignaLink3:23331499;connectomeDB2020:10880444;connectomeDB2020:11263668
5121,GDF5,BMPR2,Baccin2019:87029149525338;CellTalkDB:8702914;HPRD:9525338;InnateDB:18342887;LRdb:8702914;LRdb:953;Lit-BM-17:19229295;Lit-BM-17:9525338;SignaLink3:16446785;SignaLink3:18342887;SignaLink3:23180781;SignaLink3:23331499;SignaLink3:9525338;connectomeDB2020:8702914;connectomeDB2020:9525338
5123,NOTCH1,CHUK,InnateDB:18560356;SignaLink3:18560356;SignaLink3:23180781;SignaLink3:23331499
5125,IFNAR2,JAK1,HPRD:12133952;InnateDB:12133952;Macrophage:9334213;SPIKE_LC:16710296;SignaLink3:12133952;SignaLink3:18988627;SignaLink3:23180781;SignaLink3:23331499;SignaLink3:7988557
5129,PTPN6,ZAP70,HPRD:10458769;HPRD:8638162;InnateDB:12763134;SIGNOR:10458769;SPIKE_LC:16189514;SignaLink3:10458769;SignaLink3:12763134;SignaLink3:23109003;SignaLink3:23180781;SignaLink3:8638162
5133,PRL,PRLR,CellChatDB:23192981;CellTalkDB:2558309;Cellinker:10966654;Cellinker:11356126;Cellinker:18253483;Cellinker:2558309;Cellinker:7984244;Cellinker:9175708;Cellinker:9626554;DIP:22325776;HPMR:11356126;HPMR:2558309;HPRD:10966654;HPRD:7984244;HPRD:9626554;ICELLNET:18467331;InnateDB:21889455;IntAct:23048206;LRdb:10966654;LRdb:11356126;LRdb:2558309;LRdb:7984244;LRdb:9626554;Lit-BM-17:23048206;SIGNOR:10585417;SignaLink3:10585417;SignaLink3:10966654;SignaLink3:15082796;SignaLink3:16546209;SignaLink3:18988627;SignaLink3:20053995;SignaLink3:23331499;SignaLink3:24243840;SignaLink3:29145629;SignaLink3:7984244;SignaLink3:9626554;connectomeDB2020:10966654;connectomeDB2020:11356126;connectomeDB2020:2558309;connectomeDB2020:7984244;connectomeDB2020:9626554
5134,GH1,PRLR,CellChatDB:23192981;CellTalkDB:27003442;Cellinker:23192981;Cellinker:31100495;Cellinker:9556914;HPRD:9556914;LRdb:9556914;SIGNOR:7984244;SPIKE_LC:7984244;SignaLink3:15082796;SignaLink3:16546209;SignaLink3:20053995;SignaLink3:23331499;SignaLink3:24243840;SignaLink3:29145629;SignaLink3:7984244;connectomeDB2020:9556914
5135,GH1,GHR,BioGRID:7862673;CellChatDB:10551877;CellTalkDB:7862673;Cellinker:10551877;Cellinker:31100495;Cellinker:7862673;DIP:9571026;Guide2Pharma:26713839;ICELLNET:2387255;InnateDB:21889455;IntAct:31279174;IntAct:8943276;IntAct:9353194;LRdb:7862673;Lit-BM-17:17500058;Lit-BM-17:24280222;Lit-BM-17:7862673;Lit-BM-17:8943276;Lit-BM-17:9353194;Lit-BM-17:9571026;SIGNOR:7862673;SPIKE_LC:9353194;SignaLink3:1549776;SignaLink3:1935820;SignaLink3:19927328;SignaLink3:23331499;SignaLink3:24243840;SignaLink3:2825030;SignaLink3:29145629;SignaLink3:3349036;SignaLink3:7691587;SignaLink3:9030599;connectomeDB2020:7862673
5141,TYK2,IFNAR1,BioGRID:9733772;Cellinker:16551269;DIP:24704786;DIP:7526154;HPRD:95059042;HPRD:9677371;HPRD:9733772;InnateDB:14647450;InnateDB:15337770;InnateDB:7559568;InnateDB:8524272;InnateDB:8605876;InnateDB:8702790;InnateDB:9461596;InnateDB:9733772;KEA:7526154;KEA:8605876;KEA:8700538;KEA:95059042;KEA:9677371;MPPI:8628273;Macrophage:7526154;Macrophage:8628273;PhosphoSite:12220192;PhosphoSite:8605876;PhosphoSite:9121453;ProtMapper:18166147;ProtMapper:20937132;ProtMapper:21949722;ProtMapper:21994561;ProtMapper:23223197;ProtMapper:7526154;ProtMapper:8605876;SIGNOR:7526154;SIGNOR:8605876;SPIKE_LC:10523853;SPIKE_LC:16189514;iPTMnet:7526154;iPTMnet:8605876;iPTMnet:8700538;iPTMnet:95059042;iPTMnet:9677371;phosphoELM:7526154;phosphoELM:8605876;phosphoELM:8700538
5142,IFNG,IFNGR2,CellTalkDB:10811850;HPMR:10811850;HPMR:12438563;HPRD:7673114;InnateDB:7673114;LRdb:10811850;LRdb:77;SIGNOR:7673114;SignaLink3:10986460;SignaLink3:12438563;SignaLink3:12915721;SignaLink3:1396683;SignaLink3:15143187;SignaLink3:15530433;SignaLink3:16237089;SignaLink3:16467876;SignaLink3:18591661;SignaLink3:18988627;SignaLink3:20304997;SignaLink3:23331499;SignaLink3:29145629;SignaLink3:7510216;SignaLink3:7514165;SignaLink3:7615558;SignaLink3:7617032;SignaLink3:7673114;SignaLink3:8550631;SignaLink3:8631301;SignaLink3:9111318;connectomeDB2020:10811850;connectomeDB2020:7673114
5145,TYK2,STAT3,PhosphoSite:30910759;SIGNOR:10542297;SIGNOR:30029643;SignaLink3:10542297;SignaLink3:12023369;SignaLink3:12626585;SignaLink3:14565860;SignaLink3:14764663;SignaLink3:15261459;SignaLink3:18389480;SignaLink3:21098725;SignaLink3:23124025;SignaLink3:23331499;SignaLink3:23673666;SignaLink3:25516297;SignaLink3:29145629;SignaLink3:8662928
5146,TSLP,CRLF2,HPRD:11418668;InnateDB:11418668;NetPath:10881176;NetPath:10974032;SIGNOR:11418668;SignaLink3:10570284;SignaLink3:11418668;SignaLink3:18988627;SignaLink3:23331499;SignaLink3:29145629;connectomeDB2020:22915648;connectomeDB2020:26198769
5153,PTPN11,JAK2,DEPOD:14522994;HPRD:7559603;HPRD:8912646;HPRD:8995399;NetPath:9794795;ProtMapper:14522994;ProtMapper:30108215;SIGNOR:14522994
5154,INS,IGF1R,Baccin2019:1851182;CellTalkDB:1851182;Cellinker:1851182;HPRD:1851182;ICELLNET:1851182;LRdb:1851182;SIGNOR:1851182;SignaLink3:1851182;SignaLink3:18988627;SignaLink3:23331499;connectomeDB2020:1851182
5155,IL12A,IL12RB1,Baccin2019:11086056;CellTalkDB:11086056;Cellinker:11086056;DIP:8943050;HPMR:11086056;InnateDB:7911493;InnateDB:8943050;LRdb:11086056;Lit-BM-17:11114383;Lit-BM-17:8943050;SIGNOR:12023369;SignaLink3:23331499;SignaLink3:7527811;connectomeDB2020:11086056
5161,IFNA13,IFNAR1,CellTalkDB:11698684;CellTalkDB:21856167;HPMR:11698684;HPRD:7932753;LRdb:11698684;LRdb:79;Ramilowski2015:21856167;SIGNOR:8181059;SignaLink3:23331499;SignaLink3:8181059;connectomeDB2020:11698684;connectomeDB2020:21856167;connectomeDB2020:7932753;talklr:21856167
5162,IFNB1,IFNAR1,Baccin2019:112785381834641;CellTalkDB:11278538;DIP:10049744;DIP:7592797;Guide2Pharma:29311663;HPRD:1834641;LRdb:11278538;LRdb:18;Macrophage:7623815;SIGNOR:11278538;SignaLink3:1834641;SignaLink3:18988627;SignaLink3:23331499;SignaLink3:8181059;connectomeDB2020:11278538;connectomeDB2020:1834641;scConnect:29311663
5163,IFNA13,IFNAR2,CellTalkDB:11698684;CellTalkDB:21856167;DIP:10395669;HPMR:11698684;LRdb:11698684;Ramilowski2015:21856167;SIGNOR:11278538;SignaLink3:23331499;SignaLink3:8181059;connectomeDB2020:11698684;connectomeDB2020:21856167;talklr:21856167
5164,IFNB1,IFNAR2,Baccin2019:1127853810395660;CellTalkDB:11278538;DIP:10395669;HPRD:10395669;LRdb:1;LRdb:11278538;Macrophage:7623815;SIGNOR:11278538;SignaLink3:23331499;SignaLink3:8181059;connectomeDB2020:10395669;connectomeDB2020:11278538
5165,IL15,IL15RA,Baccin2019:15265897;Baccin2019:16284400;Baccin2019:7641685;CellTalkDB:15265897;Guide2Pharma:19710453;HPMR:15265897;HPRD:16284400;HPRD:7641685;InnateDB:16284400;IntAct:16284400;LRdb:15265897;LRdb:16284400;LRdb:7641685;Lit-BM-17:10903799;Lit-BM-17:16284400;SIGNOR:17709786;SPIKE_LC:17145710;SignaLink3:23331499;SignaLink3:8530383;connectomeDB2020:15265897;connectomeDB2020:16284400;connectomeDB2020:7641685
5171,NRG3,ERBB4,Baccin2019:9275162;CellTalkDB:9275162;HPMR:9275162;HPRD:9275162;ICELLNET:9275162;LRdb:9275162;SIGNOR:14967450;SIGNOR:7477375;SIGNOR:9275162;SignaLink3:18988627;SignaLink3:23331499;SignaLink3:9275162;connectomeDB2020:9275162
5172,NRG1,ERBB4,Baccin2019:10537356;Baccin2019:7721889;Baccin2019:8062828;Baccin2019:9565587;CellTalkDB:10537356;HPRD:10537356;HPRD:7721889;HPRD:8062828;HPRD:9565587;ICELLNET:10214951;ICELLNET:10537356;LRdb:10537356;LRdb:7721889;LRdb:8062828;LRdb:9565587;Lit-BM-17:10970856;Lit-BM-17:9168115;ProtMapper:25052836;SIGNOR:14967450;SignaLink3:23331499;SignaLink3:9275162;connectomeDB2020:10537356;connectomeDB2020:7721889;connectomeDB2020:8062828;connectomeDB2020:9565587
5205,SHH,HHIP,Baccin2019:1005085510050850;CellTalkDB:10050855;Cellinker:10050855;HPRD:10050855;IntAct:19561609;LRdb:10050855;Lit-BM-17:19561609;NetPath:10050855;connectomeDB2020:10050855
5206,HHIP,SHH,HPRD:10050855;IntAct:19561609;Lit-BM-17:19561609;NetPath:10050855;SIGNOR:10050855;SignaLink3:10050855;SignaLink3:23331499
5207,WNT8A,FZD7,SignaLink3:10097073;SignaLink3:23331499
5213,AREG,EGFR,Baccin2019:10085134;Baccin2019:2466334;CellTalkDB:2466334;HPRD:10085134;ICELLNET:2466334;LRdb:101;LRdb:2466334;ProtMapper:23762360;ProtMapper:29045902;SIGNOR:10085134;SIGNOR:10209155;SIGNOR:20513444;SPIKE_LC:16713569;SignaLink3:10085134;SignaLink3:10209155;SignaLink3:21071413;SignaLink3:23331499;connectomeDB2020:10085134;connectomeDB2020:2466334
5214,HBEGF,EGFR,Baccin2019:12725245;BioGRID:12725245;CellTalkDB:12725245;HPRD:12725245;ICELLNET:12097488;ICELLNET:12621152;ICELLNET:12725245;IntAct:28988771;IntAct:9135143;LRdb:12725245;ProtMapper:19531065;ProtMapper:22529914;ProtMapper:23888518;ProtMapper:28943431;ProtMapper:29274275;ProtMapper:30071291;SIGNOR:14967450;SignaLink3:10209155;SignaLink3:23331499;connectomeDB2020:12725245
5215,NRG4,ERBB4,Baccin2019:10348342;CellTalkDB:10348342;HPRD:10348342;ICELLNET:10348342;LRdb:10348342;SIGNOR:14967450;SIGNOR:7477375;SignaLink3:10348342;SignaLink3:18988627;SignaLink3:23331499;connectomeDB2020:10348342
5222,IFNB1,TYK2,SignaLink3:10542297;SignaLink3:23331499
5237,CRLF2,JAK2,HPRD:10872831;NetPath:10872831;SignaLink3:10872831;SignaLink3:18988627;SignaLink3:23331499
5238,IFNB1,JAK1,SignaLink3:10918594;SignaLink3:23331499
5240,DLL3,NOTCH1,CellChatDB:22353464;CellTalkDB:22353464;Cellinker:22353464;Cellinker:29910816;ICELLNET:16921404;LRdb:22353464;NetPath:18676613;SIGNOR:16140393;SignaLink3:10958687;SignaLink3:23331499;connectomeDB2020:22353464
5241,IL7R,CRLF2,HPRD:11418668;NetPath:10881176;SignaLink3:10974032;SignaLink3:23331499
5243,WNT5A,FZD4,Baccin2019:10990458;Cellinker:10990458;HPMR:10990458;LRdb:10990458;SIGNOR:16602827;SignaLink3:10990458;SignaLink3:23331499;connectomeDB2020:10990458
5244,IL23A,IL12RB1,Baccin2019:11114383;Baccin2019:12023369;Baccin2019:12671732;CellTalkDB:12023369;HPRD:11114383;HPRD:12023369;HPRD:12671732;LRdb:11114383;LRdb:12023369;LRdb:12671732;SIGNOR:12023369;SIGNOR:12671732;SignaLink3:11114383;SignaLink3:12023369;SignaLink3:12671732;SignaLink3:18988627;SignaLink3:23331499;connectomeDB2020:11114383;connectomeDB2020:12023369;connectomeDB2020:12671732
5245,IL6R,IL6ST,HPMR:15895091;HPMR:3136546;HPRD:2788034;InnateDB:14656210;InnateDB:2788034;InnateDB:7744875;InnateDB:8706672;InnateDB:9694899;NetPath:2788034;SIGNOR:11238858;SIGNOR:23663276;SignaLink3:11238858;SignaLink3:23331499
5268,DLL4,NOTCH1,Baccin2019:10837024;Baccin2019:11739188;Baccin2019:16219802;CellChatDB:22353464;CellTalkDB:22353464;Cellinker:10837024;Cellinker:11739188;Cellinker:16219802;Cellinker:22353464;HPRD:10837024;HPRD:11739188;ICELLNET:15137944;ICELLNET:19494260;LRdb:10837024;LRdb:11739188;LRdb:16219802;SIGNOR:10837024;SIGNOR:11739188;SIGNOR:16140393;SPIKE_LC:16713569;SignaLink3:10837024;SignaLink3:11739188;SignaLink3:18988627;SignaLink3:23331499;connectomeDB2020:10837024;connectomeDB2020:11739188;connectomeDB2020:16219802
5280,SHH,LRP2,CellTalkDB:16828734;Cellinker:30613383;LRdb:22340494;Ramilowski2015:22340494;connectomeDB2020:22340494;talklr:22340494
5284,IL23A,IL23R,Baccin2019:1202336912023360;CellTalkDB:12023369;HPMR:12023369;HPRD:12023369;InnateDB:12023369;LRdb:12023369;Lit-BM-17:12023369;SIGNOR:12023369;SignaLink3:12023369;SignaLink3:23331499;connectomeDB2020:12023369
5290,TYK2,IFNAR2,Cellinker:16551269;HPRD:12960323
5291,IFNAR2,TYK2,HPRD:12960323;SignaLink3:12040185;SignaLink3:12960323;SignaLink3:18988627;SignaLink3:23331499
5307,TYK2,IL10RA,KEA:10433356;iPTMnet:10433356;phosphoELM:10433356
5325,LRIG1,EGFR,BioGRID:18542056;IntAct:15282549;IntAct:15345710;IntAct:18542056;SIGNOR:15282549
5339,PTPN6,JAK2,BioGRID:10772872;BioGRID:8943354;DEPOD:8943354;HPRD:8943354;InnateDB:10772872;SIGNOR:8943354;SignaLink3:10772872;SignaLink3:15983048;SignaLink3:18988627;SignaLink3:21071413;SignaLink3:23331499;SignaLink3:8943354
5340,LRIG1,ERBB3,SIGNOR:16123311;SignaLink3:16123311;SignaLink3:23331499
5341,LRIG1,ERBB2,IntAct:15282549;IntAct:15345710;IntAct:23723069;SIGNOR:16123311;SignaLink3:16123311;SignaLink3:23331499
5342,LRIG1,ERBB4,SIGNOR:16123311;SignaLink3:16123311;SignaLink3:23331499
5343,LIFR,IL6ST,BioGRID:12047380;BioGRID:8999038;HPMR:9716487;HPRD:12047380;SIGNOR:24710148;SignaLink3:16254248;SignaLink3:21071413;SignaLink3:23331499;SignaLink3:8999038
5344,IL31,OSMR,CellTalkDB:15184896;LRdb:15184896;SIGNOR:15184896;SignaLink3:16286453;SignaLink3:23331499;connectomeDB2020:15184896
5345,OSM,OSMR,Baccin2019:10997905;Baccin2019:8999038;CellTalkDB:8999038;HPMR:10854424;HPMR:8999038;HPRD:10997905;HPRD:8999038;LRdb:10997905;LRdb:8999038;SIGNOR:16286453;SignaLink3:16286453;SignaLink3:23331499;connectomeDB2020:10997905;connectomeDB2020:8999038
5351,IL21,IL21R,Baccin2019:1141862311418620;CellTalkDB:11418623;HPMR:11418623;HPRD:11418623;LRdb:11418623;SIGNOR:16424177;SignaLink3:11418623;SignaLink3:16424177;SignaLink3:18988627;SignaLink3:21071413;SignaLink3:23331499;connectomeDB2020:11418623
5353,AMH,AMHR2,Baccin2019:79972308889695;CellTalkDB:7997230;HPMR:7997230;HPRD:8889695;LRdb:7997230;LRdb:889;SIGNOR:8119126;SignaLink3:16446785;SignaLink3:18988627;SignaLink3:23331499;SignaLink3:8889695;connectomeDB2020:7997230;connectomeDB2020:8889695
5358,INHBA,ACVR2B,Baccin2019:9202237;CellTalkDB:9202237;HPRD:9202237;LRdb:9202237;SIGNOR:8622651;SignaLink3:16446785;SignaLink3:23331499;connectomeDB2020:9202237
5359,BMP7,ACVR2B,Baccin2019:9748228;CellTalkDB:9748228;HPRD:9748228;LRdb:9748228;SIGNOR:9748228;SignaLink3:16446785;SignaLink3:23331499;connectomeDB2020:9748228
5360,BMP6,ACVR2B,SignaLink3:10504300;SignaLink3:16446785;SignaLink3:21071413;SignaLink3:23331499
5361,BMP2,ACVR2B,Baccin2019:15064755;CellTalkDB:20385559;HPRD:15064755;InnateDB:17295905;LRdb:15064755;SignaLink3:15064755;SignaLink3:16446785;SignaLink3:18988627;SignaLink3:23331499;connectomeDB2020:28977600
5363,BMP7,BMPR2,Baccin2019:7791754;DIP:7644468;HPRD:7791754;InnateDB:18342887;LRdb:7791754;SIGNOR:7644468;SignaLink3:16446785;SignaLink3:23331499;connectomeDB2020:7791754
5364,BMP6,BMPR2,Baccin2019:11401330;HPRD:11401330;LRdb:11401330;SignaLink3:10504300;SignaLink3:16446785;SignaLink3:21071413;SignaLink3:23331499;connectomeDB2020:10504300
5365,GDF6,BMPR2,Baccin2019:160490149525338;CellTalkDB:16049014;HPRD:9525338;LRdb:16049014;LRdb:95;SIGNOR:16049014;SignaLink3:16446785;SignaLink3:18988627;SignaLink3:23331499;SignaLink3:9525338;connectomeDB2020:16049014;connectomeDB2020:9525338
5366,BMP4,BMPR2,Baccin2019:7644468;Baccin2019:7673243;Baccin2019:8702914;BioGRID:12045205;DIP:7644468;DIP:7673243;HPRD:7644468;HPRD:8702914;LRdb:7644468;LRdb:7673243;LRdb:8702914;SIGNOR:7673243;SIGNOR:8006002;SignaLink3:16446785;SignaLink3:21071413;SignaLink3:23331499;SignaLink3:7644468;connectomeDB2020:7644468;connectomeDB2020:7673243;connectomeDB2020:8702914
5371,SHH,BOC,Baccin2019:17086203;CellTalkDB:17086203;Cellinker:17086203;Cellinker:30613383;HPMR:17086203;LRdb:17086203;NetPath:16647304;connectomeDB2020:17086203
5380,IL20,IL22RA1,Baccin2019:12974481;CellTalkDB:12974481;LRdb:12974481;SIGNOR:11163236;SignaLink3:17208301;SignaLink3:23331499;connectomeDB2020:12974481
5381,IL24,IL22RA1,Baccin2019:12974481;CellTalkDB:12974481;LRdb:12974481;SignaLink3:17208301;SignaLink3:23331499;connectomeDB2020:12974481
5382,IL26,IL20RA,CellTalkDB:14764663;InnateDB:15178681;SIGNOR:17208301;SignaLink3:17208301;SignaLink3:23106140;SignaLink3:23331499;connectomeDB2020:14764663
5383,IL22,IL20RA,SignaLink3:17208301;SignaLink3:23331499
5384,IL19,IL20RA,Baccin2019:1297448111564760;CellTalkDB:12974481;HPRD:11564763;LRdb:12;LRdb:12974481;SIGNOR:11564763;SignaLink3:11564763;SignaLink3:17208301;SignaLink3:18988627;SignaLink3:23331499;connectomeDB2020:11564763;connectomeDB2020:12974481
5385,IL20,IL20RA,Baccin2019:11163236;Baccin2019:12351624;Baccin2019:12974481;Baccin2019:14580208;CellTalkDB:12974481;HPRD:11163236;HPRD:12351624;HPRD:14580208;IntAct:22802649;LRdb:11163236;LRdb:12351624;LRdb:12974481;LRdb:14580208;Lit-BM-17:22802649;SignaLink3:17208301;SignaLink3:23331499;connectomeDB2020:11163236;connectomeDB2020:12351624;connectomeDB2020:12974481;connectomeDB2020:14580208
5386,IL24,IL20RA,Baccin2019:1297448111706020;CellTalkDB:12974481;HPRD:11706020;LRdb:12;LRdb:12974481;SignaLink3:17208301;SignaLink3:23331499;connectomeDB2020:11706020;connectomeDB2020:12974481
5388,IL27,IL27RA,Baccin2019:12121660;CellTalkDB:12121660;Cellinker:12121660;HPRD:12121660;LRdb:12121660;SIGNOR:14764690;SignaLink3:12121660;SignaLink3:17318299;SignaLink3:18988627;SignaLink3:23331499;connectomeDB2020:12121660
5399,CTF1,IL6ST,Baccin2019:11834704;CellTalkDB:11834704;HPRD:11834704;LRdb:11834704;SIGNOR:9030543;SignaLink3:23331499;SignaLink3:9030543;connectomeDB2020:11834704
5425,PDGFC,PDGFRA,Baccin2019:10806482;Baccin2019:11297552;Baccin2019:11342471;CellChatDB:15207812;CellTalkDB:10806482;Cellinker:15207812;Cellinker:28267575;DIP:11297552;DIP:20534510;HPMR:10806482;HPMR:15207811;HPRD:10806482;HPRD:11297552;HPRD:11342471;ICELLNET:15207811;ICELLNET:9739761;IntAct:10806482;IntAct:11297552;IntAct:20534510;LRdb:10806482;LRdb:11297552;LRdb:11342471;SignaLink3:10806482;SignaLink3:11297552;SignaLink3:11342471;SignaLink3:18988627;SignaLink3:21071413;SignaLink3:23331499;connectomeDB2020:10806482;connectomeDB2020:11297552;connectomeDB2020:11342471
5426,PDGFC,PDGFRB,Baccin2019:19795151;CellTalkDB:32196115;SignaLink3:11297552;SignaLink3:23331499;connectomeDB2020:19795151
5428,PDGFA,PDGFRA,Baccin2019:152078112544881;CellChatDB:15207812;CellTalkDB:15207811;Cellinker:15207812;Cellinker:28267575;HPRD:2544881;ICELLNET:15207811;ICELLNET:9739761;IntAct:25241761;IntAct:7679113;LRdb:15207811;LRdb:25;Lit-BM-17:11297552;Lit-BM-17:15767546;Lit-BM-17:25241761;Lit-BM-17:2544881;Lit-BM-17:7679113;SIGNOR:11803579;SignaLink3:11803579;SignaLink3:21071413;SignaLink3:23331499;SignaLink3:2544881;connectomeDB2020:15207811;connectomeDB2020:2544881
